time,symbol,direction,outcome,loss_category,confidence,adr_util,asian_sweep,at_value,max_fav_ratio,duration_mins,hour
2025-11-07 06:30:00+00:00,AUDUSD=X,SELL,LOSS,Heartbreaker,9.5,0.4654107238196934,False,False,0.8,25,6
2025-11-07 07:00:00+00:00,USDJPY=X,SELL,WIN,N/A,10.0,0.6819102222828931,False,False,1.09,20,7
2025-11-07 09:15:00+00:00,GC=F,SELL,LOSS,Standard Stop,10.0,0.7167630057803468,True,False,0.54,5,9
2025-11-07 11:30:00+00:00,EURUSD=X,SELL,LOSS,Standard Stop,12.0,0.6684227677601564,True,False,0.18,5,11
2025-11-07 12:15:00+00:00,NZDUSD=X,SELL,WIN,N/A,10.0,0.8527836415766092,False,False,1.84,15,12
2025-11-07 13:45:00+00:00,GBPUSD=X,SELL,LOSS,Standard Stop,10.0,0.6656401423215109,False,False,0.6,25,13
2025-11-07 19:45:00+00:00,AUDUSD=X,SELL,WIN,N/A,9.5,0.6926386923499004,True,False,1.03,35,19
2025-11-07 20:00:00+00:00,USDJPY=X,SELL,WIN,N/A,9.5,0.7176028746615115,True,False,1.34,5,20
2025-11-10 05:45:00+00:00,GBPUSD=X,SELL,WIN,N/A,9.5,0.347139331943869,False,False,1.2,10,5
2025-11-10 05:45:00+00:00,AUDUSD=X,SELL,WIN,N/A,9.5,0.8325691555582546,False,False,1.43,10,5
2025-11-10 05:45:00+00:00,NZDUSD=X,SELL,LOSS,Heartbreaker,9.5,0.5453051385997589,False,False,0.82,45,5
2025-11-10 07:15:00+00:00,USDJPY=X,SELL,LOSS,Standard Stop,10.0,0.7992108083530902,False,False,0.47,5,7
2025-11-10 12:15:00+00:00,GBPUSD=X,SELL,LOSS,Standard Stop,9.5,0.681206348519904,True,False,0.16,5,12
2025-11-10 22:00:00+00:00,NZDUSD=X,SELL,LOSS,Standard Stop,9.5,0.8229520940627734,True,False,0.23,5,22
2025-11-11 09:15:00+00:00,USDJPY=X,SELL,LOSS,Heartbreaker,10.0,0.49623915405030045,False,False,1.05,5,9
2025-11-11 12:15:00+00:00,GBPUSD=X,SELL,LOSS,Standard Stop,9.5,0.8171917046544597,False,False,0.31,5,12
2025-11-11 13:45:00+00:00,AUDUSD=X,SELL,WIN,N/A,12.0,0.6077957645058983,True,False,1.1,25,13
2025-11-12 10:30:00+00:00,USDCAD=X,SELL,WIN,N/A,10.0,0.43073575102363654,True,False,1.07,110,10
2025-11-12 14:30:00+00:00,^IXIC,SELL,LOSS,Standard Stop,10.0,0.5795415004614244,False,False,0.45,5,14
2025-11-12 21:30:00+00:00,AUDUSD=X,BUY,WIN,N/A,9.5,0.9108535239278255,False,False,1.06,25,21
2025-11-12 22:15:00+00:00,NZDUSD=X,BUY,WIN,N/A,10.0,0.7429470123770642,False,False,1.09,10,22
2025-11-13 09:30:00+00:00,USDJPY=X,BUY,WIN,N/A,12.0,0.7651314500097992,True,False,1.0,30,9
2025-11-17 00:15:00+00:00,GBPUSD=X,BUY,WIN,N/A,9.5,0.1114252211917706,False,False,1.04,5,0
2025-11-17 00:15:00+00:00,NZDUSD=X,BUY,WIN,N/A,10.0,0.29910033086912907,False,False,1.4,15,0
2025-11-18 08:15:00+00:00,EURUSD=X,SELL,WIN,N/A,12.0,0.4525750087017055,True,False,1.3,15,8
2025-11-18 08:30:00+00:00,USDCAD=X,BUY,LOSS,Standard Stop,10.0,0.5833939931006108,True,False,0.68,60,8
2025-11-18 10:45:00+00:00,GC=F,SELL,LOSS,Heartbreaker,9.5,0.6956522883377835,True,False,0.85,15,10
2025-11-18 11:45:00+00:00,AUDUSD=X,SELL,LOSS,Standard Stop,9.5,0.9166509851150711,True,False,0.62,5,11
2025-11-18 15:30:00+00:00,EURUSD=X,SELL,WIN,N/A,12.0,0.558468773203531,True,False,1.39,15,15
2025-11-18 15:30:00+00:00,GBPUSD=X,SELL,WIN,N/A,12.0,0.565340663265588,True,False,1.52,15,15
